Timestamp_ms,Couleur,X_center,Y_center
3545,Blanc,15,180
3545,Blanc,106,197
3545,Blanc,553,188
3577,Blanc,16,171
3577,Blanc,106,197
3577,Blanc,554,189
3607,Blanc,15,181
3607,Blanc,107,197
3607,Blanc,554,190
3640,Blanc,15,179
3640,Blanc,103,188
3640,Blanc,552,188
3673,Blanc,16,172
3673,Blanc,102,189
3673,Blanc,553,189
3703,Blanc,15,180
3703,Blanc,102,188
3703,Blanc,554,189
3737,Blanc,15,178
3737,Blanc,102,186
3737,Blanc,553,189
3767,Blanc,15,179
3767,Blanc,101,186
3767,Blanc,553,189
3799,Blanc,15,180
3799,Blanc,101,186
3799,Blanc,554,189
3847,Blanc,15,180
3847,Blanc,101,183
3847,Blanc,553,189
3884,Blanc,16,173
3884,Blanc,100,181
3884,Blanc,554,190
3916,Blanc,17,166
3916,Blanc,99,178
3916,Blanc,554,189
3951,Blanc,15,181
3951,Blanc,98,176
3951,Blanc,553,188
3986,Blanc,192,299
3986,Blanc,15,179
3986,Blanc,97,174
3986,Blanc,554,189
4019,Blanc,190,293
4019,Blanc,17,166
4019,Blanc,97,173
4019,Blanc,552,189
4052,Blanc,189,287
4052,Blanc,15,180
4052,Blanc,96,173
4052,Blanc,547,195
4081,Blanc,188,284
4081,Blanc,17,166
4081,Blanc,95,175
4081,Blanc,548,195
4111,Blanc,188,284
4111,Blanc,15,181
4111,Blanc,95,176
4111,Blanc,553,189
4141,Blanc,189,283
4141,Blanc,17,166
4141,Blanc,96,178
4141,Blanc,552,189
4173,Blanc,191,288
4173,Blanc,15,181
4173,Blanc,97,179
4173,Blanc,551,188
4206,Blanc,192,290
4206,Blanc,16,174
4206,Blanc,97,182
4206,Blanc,551,189
4233,Blanc,15,181
4233,Blanc,97,184
4233,Blanc,552,189
4281,Blanc,15,177
4281,Blanc,98,182
4281,Blanc,552,188
4310,Blanc,96,184
4310,Blanc,551,189
4344,Blanc,15,181
4344,Blanc,99,185
4344,Blanc,551,188
4374,Blanc,454,208
4374,Blanc,15,181
4374,Blanc,99,185
4374,Blanc,552,188
4409,Blanc,454,209
4409,Blanc,15,180
4409,Blanc,99,185
4409,Blanc,553,188
4438,Blanc,15,182
4438,Blanc,99,187
4438,Blanc,550,188
4473,Blanc,470,209
4473,Blanc,15,181
4473,Blanc,98,188
4473,Blanc,551,188
4503,Blanc,15,179
4503,Blanc,98,187
4503,Blanc,550,188
4535,Blanc,15,180
4535,Blanc,99,186
4535,Blanc,549,188
4566,Blanc,96,188
4566,Blanc,550,188
4601,Blanc,94,328
4601,Blanc,455,209
4601,Blanc,99,186
4601,Blanc,15,180
4601,Blanc,550,187
4630,Blanc,97,186
4630,Blanc,550,188
4665,Blanc,91,328
4665,Blanc,454,208
4665,Blanc,15,179
4665,Blanc,100,186
4665,Blanc,551,188
4711,Blanc,15,179
4711,Blanc,100,188
4711,Blanc,550,189
4741,Blanc,454,208
4741,Blanc,15,179
4741,Blanc,101,187
4741,Blanc,550,187
4775,Blanc,92,328
4775,Blanc,15,182
4775,Blanc,102,187
4775,Blanc,550,187
4807,Blanc,103,188
4807,Blanc,15,179
4807,Blanc,549,188
4838,Blanc,101,190
